Country,State,Location,Month_name,Time_category,Fatal Y/N,Attack_Count
Admiralty Islands,Manus Island,Sisi  (west coast of island),October,Unknown,Non-Fatal,1
Africa,Unknown,Unknown,September,Unknown,Fatal,1
American Samoa,Tutuila Island,Near tuna cannery in Pago Pago Harbor,December,Unknown,Fatal,1
American Samoa,Tutuila Island,Pago Pago Bay,August,Unknown,Fatal,1
American Samoa,Tutuila Island,Van Camp wharf,December,Morning,Fatal,1
Andaman / Nicobar Islandas,Unknown,Unknown,September,Afternoon,Fatal,1
Antigua,St John's,Fort James Beach,December,Morning,Unknown,1
Antigua,Unknown,Falmouth Harbour,May,Unknown,Unknown,1
Argentina,Buenos Aires Province,"Miramar Beach, 46 km south of Mar de Plata, Buenos Aires ",January,Afternoon,Non-Fatal,1
Argentina,Patagonia,Chubut Province,February,Unknown,Unknown,1
Aruba,Unknown,Boat capsized,December,Unknown,Fatal,1
Atlantic Ocean,04.05N-13.23W,Unknown,September,Unknown,Non-Fatal,1
Atlantic Ocean,300 miles from Antigua,Unknown,January,Unknown,Non-Fatal,1
Atlantic Ocean,600 nm west of the Canary Islands,Unknown,December,Afternoon,Non-Fatal,1
Atlantic Ocean,800 miles from land,Unknown,January,Unknown,Non-Fatal,1
Atlantic Ocean,9.35N 79.35W,"East of La Grande Island, North of Panama Canal",January,Unknown,Fatal,1
Atlantic Ocean,Between Southampton & Canary Islands,Unknown,December,Unknown,Unknown,1
Atlantic Ocean,Unknown,360 miles north of Ascension Island,September,Unknown,Non-Fatal,1
Atlantic Ocean,Unknown,Unknown,August,Unknown,Fatal,1
Atlantic Ocean,Unknown,Unknown,December,Unknown,Fatal,1
Atlantic Ocean,Unknown,Unknown,February,Unknown,Non-Fatal,1
Atlantic Ocean,Unknown,Unknown,January,Unknown,Fatal,1
Atlantic Ocean,Unknown,Unknown,July,Unknown,Fatal,1
Atlantic Ocean,Unknown,Unknown,July,Unknown,Unknown,1
Atlantic Ocean,Unknown,Unknown,June,Unknown,Fatal,1
Atlantic Ocean,Unknown,Unknown,October,Unknown,Fatal,1
Australia,New South Wales, Bellingen,May,Night,Non-Fatal,1
Australia,New South Wales," Black Head, south of Taree",October,Unknown,Non-Fatal,1
Australia,New South Wales, Botany Bay ,February,Night,Non-Fatal,1
Australia,New South Wales," St. George’s River at Moorebank, near Milperra Bridge",December,Afternoon,Fatal,1
Australia,New South Wales,"""Bellynahinch"" on the Manning River",January,Evening,Fatal,1
Australia,New South Wales,1.5 miles off shore,April,Unknown,Non-Fatal,1
Australia,New South Wales,10 miles off Nambucca Heads  onboard trawler,April,Night,Non-Fatal,1
Australia,New South Wales,20 miles off Sydney,December,Unknown,Fatal,1
Australia,New South Wales,26 nautical miles out to sea off Lake Macquarie,April,Unknown,Unknown,1
Australia,New South Wales,5 miles south of Sussex Inlet at mouth of Berara Lake,January,Unknown,Non-Fatal,1
Australia,New South Wales,"7 Mile Beach, Gerroa",November,Afternoon,Non-Fatal,1
Australia,New South Wales,Angourie,December,Early morning,Non-Fatal,1
Australia,New South Wales,"Angourie, near Yamba",February,Unknown,Non-Fatal,1
Australia,New South Wales,Arakoon's Little Bay,September,Unknown,Non-Fatal,1
Australia,New South Wales,Arrawarra Headland,June,Unknown,Non-Fatal,1
Australia,New South Wales,Austinmer,February,Evening,Non-Fatal,1
Australia,New South Wales,Avalon,March,Afternoon,Non-Fatal,1
Australia,New South Wales,Avalon,March,Early morning,Non-Fatal,1
Australia,New South Wales,Avalon Beach,October,Unknown,Non-Fatal,1
Australia,New South Wales,Avoca,August,Early morning,Non-Fatal,1
Australia,New South Wales,Avoca Beach,December,Morning,Non-Fatal,1
Australia,New South Wales,Avoca Beach,January,Unknown,Non-Fatal,1
Australia,New South Wales,Avoca Beach,November,Afternoon,Non-Fatal,1
Australia,New South Wales,Avoca Beach,October,Early morning,Non-Fatal,1
Australia,New South Wales,"Bantry Bay, near Ironstone Point, Middle Harbor, Sydney",December,Morning,Fatal,1
Australia,New South Wales,"Bar Beach, Newcastle",April,Evening,Non-Fatal,1
Australia,New South Wales,"Bar Beach, Newcastle",February,Afternoon,Fatal,1
Australia,New South Wales,"Bar Beach, Newcastle ",January,Afternoon,Fatal,1
Australia,New South Wales,Bass Point,March,Unknown,Non-Fatal,1
Australia,New South Wales,Bateman's Bay,March,Early morning,Non-Fatal,1
Australia,New South Wales,Beecroft Head,January,Early morning,Non-Fatal,1
Australia,New South Wales,Bellambi,January,Unknown,Non-Fatal,1
Australia,New South Wales,Bellambi Reef,July,Unknown,Non-Fatal,1
Australia,New South Wales,Bellambi Reef,June,Unknown,Fatal,1
Australia,New South Wales,Bellinger Head,November,Unknown,Unknown,1
Australia,New South Wales,Belongil Bay,February,Early morning,Non-Fatal,1
Australia,New South Wales,"Belongil Beach, Byron Bay",June,Morning,Non-Fatal,1
Australia,New South Wales,Bermagui,April,Night,Non-Fatal,1
Australia,New South Wales,Bermagui,October,Unknown,Fatal,1
Australia,New South Wales,"Berry's Bay, Sydney Harbour",January,Unknown,Non-Fatal,1
Australia,New South Wales,Between Dee Why and Long Reef,December,Afternoon,Non-Fatal,1
Australia,New South Wales,Bherwerre Beach,December,Morning,Non-Fatal,1
Australia,New South Wales,"Bilgola Beach, Sydney",February,Unknown,Unknown,1
Australia,New South Wales,Birubi Point,October,Morning,Non-Fatal,1
Australia,New South Wales,Blue Bay,March,Evening,Non-Fatal,1
Australia,New South Wales,"Boat Harbour, north of Cronulla",October,Unknown,Non-Fatal,1
Australia,New South Wales,Bombo Beach,March,Evening,Non-Fatal,1
Australia,New South Wales,Bondi,April,Afternoon,Non-Fatal,1
Australia,New South Wales,Bondi,August,Unknown,Non-Fatal,1
Australia,New South Wales,Bondi,December,Unknown,Non-Fatal,1
Australia,New South Wales,Bondi,February,Afternoon,Fatal,1
Australia,New South Wales,Bondi,January,Evening,Fatal,1
Australia,New South Wales,Bondi ,December,Night,Unknown,1
Australia,New South Wales,Bondi Beach,December,Early morning,Non-Fatal,1
Australia,New South Wales,Bondi Beach,February,Unknown,Non-Fatal,1
Australia,New South Wales,"Bondi Beach, Sydney",December,Unknown,Non-Fatal,1
Australia,New South Wales,"Bondi Beach, Sydney",February,Evening,Non-Fatal,1
Australia,New South Wales,"Bondi, Sydney",March,Evening,Non-Fatal,1
Australia,New South Wales,Booti Booti National Park,December,Morning,Non-Fatal,1
Australia,New South Wales,Booti Booti National Park,December,Unknown,Non-Fatal,1
Australia,New South Wales,"Botany Bay, Sydney",April,Unknown,Non-Fatal,1
Australia,New South Wales,"Botany Bay, Sydney",October,Unknown,Unknown,2
Australia,New South Wales,Botany Bay?,November,Unknown,Unknown,1
Australia,New South Wales,"Bradleys Head, Sydney ",November,Unknown,Fatal,1
Australia,New South Wales,Broken Head,December,Early morning,Non-Fatal,1
Australia,New South Wales,Broken Head,July,Early morning,Non-Fatal,1
Australia,New South Wales,Broken Head Beach,October,Early morning,Non-Fatal,1
Australia,New South Wales,Bronte,February,Evening,Non-Fatal,1
Australia,New South Wales,Bronte Beach,April,Early morning,Non-Fatal,1
Australia,New South Wales,Bronte Beach,April,Unknown,Non-Fatal,1
Australia,New South Wales,Broome Head,February,Afternoon,Non-Fatal,1
Australia,New South Wales,Broughton Island,February,Afternoon,Non-Fatal,1
Australia,New South Wales,Brunswick Heads,February,Unknown,Non-Fatal,1
Australia,New South Wales,Brunswick Heads,January,Afternoon,Non-Fatal,1
Australia,New South Wales,Brunswick Heads,January,Unknown,Unknown,1
Australia,New South Wales,"Buchan Point, Sydney",February,Afternoon,Fatal,1
Australia,New South Wales,Bushrangers Pass at Bass Point,January,Unknown,Non-Fatal,1
Australia,New South Wales,Byron Bay,August,Afternoon,Non-Fatal,1
Australia,New South Wales,Byron Bay,October,Morning,Non-Fatal,1
Australia,New South Wales,Byron Bay,September,Unknown,Non-Fatal,1
Australia,New South Wales,Byron Bay ,October,Unknown,Non-Fatal,2
Australia,New South Wales,Cabarita Beach,September,Afternoon,Non-Fatal,1
Australia,New South Wales,"Cabramatta Creek, George’s River ",December,Unknown,Unknown,1
Australia,New South Wales,Cape Howe,January,Morning,Non-Fatal,1
Australia,New South Wales,Cave at Shell Harbour,February,Evening,Non-Fatal,1
Australia,New South Wales,Caves Beach,February,Unknown,Non-Fatal,1
Australia,New South Wales,Cellito Beach,February,Morning,Non-Fatal,1
Australia,New South Wales,"Charles Street Wharf, Parramatta River",February,Night,Non-Fatal,1
Australia,New South Wales,"Chowder Bay, Sydney",January,Afternoon,Non-Fatal,1
Australia,New South Wales,Clarence Head,April,Unknown,Non-Fatal,1
Australia,New South Wales,Clarence Heads,November,Unknown,Non-Fatal,2
Australia,New South Wales,Clarence River,January,Unknown,Non-Fatal,1
Australia,New South Wales,Clarence River,October,Afternoon,Non-Fatal,1
Australia,New South Wales,"Clark Island, Sydney Harbour",March,Unknown,Non-Fatal,1
Australia,New South Wales,"Clark's Island, Sydney Harbor",December,Unknown,Unknown,1
Australia,New South Wales,"Clarkes Beach, Byron Bay",September,Morning,Fatal,1
Australia,New South Wales,"Clarks Beach, Byron Bay",September,Afternoon,Non-Fatal,1
Australia,New South Wales,Coalcliff,October,Unknown,Fatal,1
